1,an,一个，每一个，任何一个
2,abandon,丢弃、放弃、抛弃
3,ability,能力、能耐、本领
4,able,有能力、能干的
5,abnormal,不正常的、变态的、不规则的
6,aboard,在船上、上船
7,abolish,废除、取消、变革
8,abortion,流产、堕胎、失败
9,about,关于、在周围
10,above,在上面、高于
11,abroad,国外、到处、传开
12,abrupt,生硬的、突然的、唐突的、陡峭的
13,absence,缺席、不在场、缺乏
14,absent,不在场的、缺乏
15,absolute,绝对的、纯粹的
16,absorb,吸收、使专心
17,abstract,抽象、摘要
18,absurd,荒诞、可笑的
19,abundance,丰富、充裕
20,abundant,丰富的、大量的
21,abuse,滥用、虐待
22,academic,学院的、学术的
23,academy,学院、协会、研究院
24,accelerate,加快、促进、加速、增加
25,accent,口音、重音、强调、特点
26,accept,接受、同意
27,acceptable,可接受的、值得接受的、合意的
28,acceptance,接受、验收、承认
29,access,接近、通道、入口、访问
30,accessory,附件、配件
31,accident,意外的事、事故
32,accommodate,容纳、供应、供给
33,accommodation,适应、调解、膳宿、贷款
34,accompany,陪同、伴随
35,accomplish,达到、完成
36,accord,使一致、给予
37,according to,按照、根据
38,accordingly,因此、依照
39,account,记述、解释、账目
40,accountable,有责任的、可说明的、可解释的
41,accountant,会计、会计师
42,accounting,会计学、清算账目
43,accumulate,积累、堆积
44,accuracy,准确、准确度
45,accurate,准确的、精确地
46,accuse,指责、控告
47,accustomed,惯常的、习惯的
48,ache,痛、想念、疼痛
49,achieve,完成、实现、达到
50,achievement,完成、成就、成绩
51,acid,酸
52,acknowledge,承认、感谢
53,acquaint,使认识、使了解
54,acquaintance,认识、了解、熟人
55,acquire,取得、获得、学到
56,acquisition,获得、添加的物品
57,acre,英亩
58,across,横过、在对面
59,act,行动、见效、行为
60,action,行动、作用、功能
61,active,活跃的、积极的
62,activity,活动、活力、行动
63,actor,男演员
64,actress,女演员
65,actual,实际的、现行的
66,actually,事实上
67,acupuncture,针灸
68,acute,尖的、锐的、敏锐的
69,adapt,使适应、改编
70,admission,允许进入、承认
71,adolescence,青春、青春期
72,adolescent,青春期的、青少年
73,adopt,收养、采用、采取
74,adore,崇拜、热爱
75,adult,成年人、成年的
76,advance,前进、提高、进展、推进、促进
77,advanced,先进的、高级的
78,advancement,提升、升级
79,advantage,优点、优势、好处
80,adventure,冒险、惊险活动
81,adverb,副词
82,adverse,不利的、敌对的、相反的
83,advertise,通知、登广告
84,advertisement,广告、公告、登广告
85,advice,劝告、忠告、意见
86,add,添加、附加、增加
87,addict,使上瘾
88,addicted,上瘾的
89,addition,加、加法
90,address,地址
91,adequate,足够的、可以胜任的
92,adhere,粘附、追随、坚持
93,adjective,形容词
94,adjust,调整、调节、校正
95,administer,管理、治理、执行
96,administration,管理、行政、政府
97,admire,钦佩、羡慕、赞赏
98,admit,承认、准许进入
99,advisable,明智的，可取得
100,advise,劝告、建议、通知
101,advocate,拥护者、提倡、拥护
102,aerial,空气的、航空的、天线
103,aerospace,太空、宇宙空间
104,aesthetic,美的、美学的、审美的
105,aesthetics,美学
106,affair,事情
107,affect,影响、感动、侵袭
108,affection,慈爱、爱、爱慕
109,affiliate,附属、接纳
110,affirm,断言、批准、证实
111,affix,附加、贴上、盖印
112,afford,担负得起、提供
